Gene1	Gene2	correlation
GPR15	GPR15	1
LHX9	GPR15	0.245413360934802
AHRR	GPR15	0.696018242718479
LINC01108	GPR15	0.404123028252937
ITGAE	GPR15	0.309683350177855
GPR55	GPR15	0.427533555126291
PKD1L1	GPR15	0.499200443994607
GSG2	GPR15	0.504367224460203
FBP1	GPR15	0.20276824983103
CYP27A1	GPR15	0.243076733683218
MYO1A	GPR15	0.240952133385713
EYA4	GPR15	-0.117161207463715
KRT79	GPR15	0.578983883152189
CD101	GPR15	0.367440288083963
SLITRK2	GPR15	-0.333803779386717
PCDH10	GPR15	-0.254740556131068
ACOT4	GPR15	0.00971729821072804
STAC	GPR15	0.317358565878723
CD52	GPR15	0.251715125725857
VWC2	GPR15	0.448658196992304
CYP1A1	GPR15	0.425802117881249
SLC6A12	GPR15	0.350262139993323
KCND2	GPR15	0.357746108499266
ACP5	GPR15	0.137052127826679
DACH2	GPR15	-0.16662552950038
CCDC88A	GPR15	0.318717245003515
PNPLA6	GPR15	0.346062550960883
SYT13	GPR15	-0.137562640309664
PCDH11X	GPR15	-0.161636057774046
ALOX5	GPR15	0.153272865733777
PCAT14	GPR15	-0.185126947856189
GGA2	GPR15	0.375545854983177
PARVG	GPR15	0.353237998146322
M1AP	GPR15	0.268015381270811
ADTRP	GPR15	0.29806241198686
PHLDA3	GPR15	0.204731537585987
CD8B	GPR15	0.54357213373832
MAN2B1	GPR15	0.154952217802135
PPARG	GPR15	0.226591068807991
PNPLA3	GPR15	0.227431637340711
JAML	GPR15	0.342643802080911
PKP1	GPR15	-0.17081512832444
CSTB	GPR15	0.125135664586722
ATP6V0D2	GPR15	0.359661950603446
RP11.621L6.3	GPR15	0.131130984841972
TCEAL2	GPR15	-0.192395976315636
GPD1	GPR15	0.1821892398178
GNAZ	GPR15	-0.213382562065751
CATSPER1	GPR15	0.0336127631517324
KCNA10	GPR15	0.47478457411221
PLA2G4E	GPR15	0.19482139784687
AIFM3	GPR15	0.13363228873263
WDFY4	GPR15	0.249947859017154
CEACAM21	GPR15	0.132486038679085
FAM213A	GPR15	0.0437945939580403
DNASE2B	GPR15	0.193559348331415
NHLH2	GPR15	-0.0138299873733041
LINC01637	GPR15	0.0154289145774355
DPP6	GPR15	-0.131593400249462
GUSB	GPR15	0.0693411726873685
GAPLINC	GPR15	0.226541161737801
LRRN2	GPR15	0.435809168018384
